ISO,Country,unemployment rate
ALB,Albania,13.719
DZA,Algeria,12.472
ARG,Argentina,10.63
ARM,Armenia,17.698
AUS,Australia,5.144
AUT,Austria,5.1
AZE,Azerbaijan,4.982
BHS,The Bahamas,13.47
BHR,Bahrain,3.95
BRB,Barbados,10.357
BLR,Belarus,0.529
BEL,Belgium,5.5
BLZ,Belize,9.891
BTN,Bhutan,3.2
BOL,Bolivia,4.0
BIH,Bosnia and Herzegovina,18.0
BRA,Brazil,11.8
BRN,Brunei Darussalam,9.316
BGR,Bulgaria,4.9
CPV,Cabo Verde,8.5
CAN,Canada,5.794
CHL,Chile,6.893
CHN,China,3.8
COL,Colombia,9.7
CRI,Costa Rica,11.5
HRV,Croatia,9.0
CYP,Cyprus,7.009
CZE,Czech Republic,2.2
DNK,Denmark,4.958
DOM,Dominican Republic,5.5
ECU,Ecuador,4.328
EGY,Egypt,8.612
SLV,El Salvador,7.019
EST,Estonia,4.693
FJI,Fiji,4.5
FIN,Finland,6.54
FRA,France,8.62
DEU,Germany,3.206
GRC,Greece,17.802
HND,Honduras,3.319
HKG,Hong Kong SAR,2.944
HUN,Hungary,3.529
ISL,Iceland,3.3
IDN,Indonesia,5.2
IRN,Islamic Republic of Iran,16.784
IRL,Ireland,5.472
ISR,Israel,3.991
ITA,Italy,10.32
JAM,Jamaica,8.5
JPN,Japan,2.433
KAZ,Kazakhstan,4.854
KOR,Korea,4.0
KWT,Kuwait,1.322
KGZ,Kyrgyz Republic,6.605
LVA,Latvia,6.503
LTU,Lithuania,6.106
LUX,Luxembourg,5.166
MAC,Macao SAR,1.8
MYS,Malaysia,3.425
MLT,Malta,3.8
MUS,Mauritius,6.9
MEX,Mexico,3.448
MDA,Moldova,3.022
MNG,Mongolia,9.0
MAR,Morocco,9.23
MMR,Myanmar,4.0
NLD,Netherlands,3.339
NZL,New Zealand,4.336
NIC,Nicaragua,8.746
MKD,North Macedonia,17.927
NOR,Norway,3.6
PAK,Pakistan,6.14
PAN,Panama,6.107
PRY,Paraguay,6.068
PER,Peru,6.684
PHL,Philippines,5.175
POL,Poland,3.773
PRT,Portugal,6.105
PRI,Puerto Rico,9.2
ROU,Romania,4.3
RUS,Russia,4.623
SMR,San Marino,8.078
SRB,Serbia,13.122
SYC,Seychelles,3.0
SGP,Singapore,2.2
SVK,Slovak Republic,5.951
SVN,Slovenia,4.453
ZAF,South Africa,27.855
ESP,Spain,13.941
LKA,Sri Lanka,4.4
SDN,Sudan,22.1
SUR,Suriname,7.27
SWE,Sweden,6.469
CHE,Switzerland,2.821
TWN,Taiwan Province of China,3.8
THA,Thailand,1.2
TTO,Trinidad and Tobago,4.825
TUR,Turkey,13.831
UKR,Ukraine,8.678
GBR,United Kingdom,3.814
USA,United States,3.725
URY,Uruguay,8.568
VNM,Vietnam,2.21
